

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |t90_error|flux_64 |flux_64_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_phtflux|pflx_comp_phtflux_error|
|GRB090510016|22 14 24.0|-26 36 00|   0.960|    0.138| 40.9509|       1.5804|   2.623301e+03|           2.848633e+02|           2.848633e+02|  -7.017278e-01|           4.855239e-02|           4.855239e-02|     4.233031e+01|           1.761423e+00|
|GRB090520832|22 08 00.0|+43 12 00|   0.768|    0.834|  5.7562|       1.0069|   8.190000e+04|           1.403851e+06|           1.403851e+06|  -1.472834e+00|           1.793506e-01|           1.793506e-01|     6.171001e+00|           1.367275e+00|
|GRB090531775|16 48 14.4|-36 03 00|   0.768|    0.231|  5.9233|       1.1453|   2.610504e+03|           7.953326e+02|           7.953326e+02|  -6.787025e-01|           1.980925e-01|           1.980925e-01|     5.651135e+00|           9.719135e-01|
|GRB090616157|06 52 16.8|-03 42 36|   1.152|    1.168|  4.0621|       0.7209|   2.241624e+02|           1.227394e+02|           1.227394e+02|  -1.040722e+00|           6.716437e-01|           6.716437e-01|     4.064357e+00|           1.070866e+00|
|GRB090617208|05 15 33.6|+15 39 00|   0.192|    0.143| 18.9418|       0.8053|   5.723456e+02|           6.981464e+01|           6.981464e+01|   6.544071e-01|           3.126398e-01|           3.126398e-01|     1.987469e+01|           1.131278e+00|
|GRB090620901|16 05 31.2|-43 01 12|   0.960|    0.272|  3.9296|       0.7142|   9.513375e+02|           3.923862e+03|           3.923862e+03|  -1.267084e+00|           6.132078e-01|           6.132078e-01|     3.229426e+00|           1.079880e+00|
|GRB090621922|20 53 43.7|+69 00 47|   0.384|    1.032|  9.7937|       1.5047|   4.212170e+02|           1.297514e+02|           1.297514e+02|  -3.342434e-01|           3.732766e-01|           3.732766e-01|     1.079186e+01|           1.434692e+00|
|GRB090717111|16 27 48.0|+22 58 12|   0.384|    0.181|  4.1774|       0.7993|   7.163210e+02|           1.493796e+02|           1.493796e+02|   1.673485e+00|           1.864587e+00|           1.864587e+00|     3.364498e+00|           6.043908e-01|
|GRB090802235|05 37 19.2|+34 05 24|   0.048|    0.023| 30.7025|       2.2165|   3.187160e+02|           4.480978e+01|           4.480978e+01|  -4.892736e-01|           1.497388e-01|           1.497388e-01|     3.053635e+01|           1.943643e+00|
|GRB090814368|22 09 55.2|+58 55 12|   0.192|    0.045| 11.1780|       1.0098|   8.401863e+02|           1.930209e+02|           1.930209e+02|  -3.780104e-01|           1.990341e-01|           1.990341e-01|     1.103860e+01|           1.012224e+00|
|GRB090819607|03 16 19.2|-67 07 12|   0.192|    0.202|  7.2562|       0.6982|   4.782112e+02|           1.508720e+02|           1.508720e+02|  -1.896375e-01|           4.280336e-01|           4.280336e-01|     7.463267e+00|           1.012861e+00|
|GRB090907808|05 24 14.4|+20 30 00|   0.832|    0.320|  7.9436|       0.9130|   6.746902e+02|           2.239434e+02|           2.239434e+02|  -6.361325e-01|           2.283159e-01|           2.283159e-01|     8.257286e+00|           9.722143e-01|
|GRB090909854|03 36 43.2|-25 01 48|   1.152|    2.244|  6.3584|       1.1811|   7.480040e+02|           3.588862e+02|           3.588862e+02|  -9.467737e-01|           3.517359e-01|           3.517359e-01|     6.975978e+00|           1.248252e+00|
|GRB090924625|04 38 55.2|-65 01 12|   0.352|    0.101|  9.1162|       0.8247|   5.845059e+02|           1.300480e+02|           1.300480e+02|  -1.945322e-01|           3.110302e-01|           3.110302e-01|     9.640298e+00|           1.144003e+00|
|GRB090927422|22 55 48.0|-70 58 48|   0.512|    0.231|  6.5443|       1.0933|   9.524080e+01|           1.374879e+01|           1.374879e+01|   2.376610e+00|           1.794838e+00|           1.794838e+00|     4.552113e+00|           9.487087e-01|
|GRB091006360|16 12 26.4|-31 02 24|   0.192|    0.091|  5.3392|       1.2447|   2.429045e+02|           1.069948e+02|           1.069948e+02|  -1.041976e+00|           6.409169e-01|           6.409169e-01|     4.587498e+00|           1.192742e+00|
|GRB091012783|07 17 36.0|+87 16 12|   0.704|    2.499| 18.4315|       1.9948|   1.049728e+03|           1.876459e+02|           1.876459e+02|  -2.534863e-01|           1.749083e-01|           1.749083e-01|     2.146522e+01|           1.801473e+00|
|GRB091018957|21 27 19.2|-23 04 48|   0.192|    0.286| 10.2340|       2.6756|   3.583766e+02|           9.428107e+01|           9.428107e+01|  -2.939818e-01|           4.951220e-01|           4.951220e-01|     9.785189e+00|           1.825482e+00|
|GRB091019750|15 04 07.2|+80 19 48|   0.208|    0.172|  7.6106|       0.6924|   2.138527e+02|           5.708313e+01|           5.708313e+01|  -2.564313e-01|           3.769130e-01|           3.769130e-01|     7.852647e+00|           9.782177e-01|
|GRB091126333|05 33 00.0|-19 16 12|   0.192|    0.091|  9.9891|       0.9152|   3.058758e+02|           7.365230e+01|           7.365230e+01|  -3.146571e-01|           3.299070e-01|           3.299070e-01|     1.057352e+01|           1.254873e+00|
|GRB091126389|03 09 40.8|+31 31 12|   0.024|    0.097|  4.0161|       0.7825|               |                       |                       |               |                       |                       |                 |                       |
|GRB091223191|13 32 55.2|+76 21 00|   0.576|    0.181|  3.5811|       0.6065|   4.385744e+02|           2.211874e+02|           2.211874e+02|  -3.349419e-01|           6.224104e-01|           6.224104e-01|     4.271803e+00|           9.111657e-01|
|GRB091224373|22 04 40.8|+18 15 36|   0.768|    0.231|  6.3942|       0.8739|   4.292598e+02|           1.839028e+02|           1.839028e+02|  -3.229613e-01|           6.396042e-01|           6.396042e-01|     5.392613e+00|           1.210741e+00|
|GRB100101988|04 42 38.4|+18 41 24|   1.984|    2.049|  3.1414|       0.4332|   9.651357e+02|           4.760985e+02|           4.760985e+02|  -7.386960e-01|           6.308085e-01|           6.308085e-01|     3.321682e+00|           9.174190e-01|
|GRB100107074|00 25 14.4|-21 14 24|   0.576|    0.465| 11.7236|       1.4885|   3.236741e+02|           6.592035e+01|           6.592035e+01|   9.641442e-01|           1.063364e+00|           1.063364e+00|     6.015419e+00|           1.023791e+00|
|GRB100117879|00 45 02.4|-01 35 38|   0.256|    0.834|  7.9493|       0.8568|   2.400334e+02|           4.854709e+01|           4.854709e+01|   1.593017e-01|           4.604353e-01|           4.604353e-01|     7.950939e+00|           1.171463e+00|
|GRB100204858|06 05 09.6|-20 56 24|   1.920|    2.375|  3.8451|       0.8645|   5.442383e+02|           5.416731e+02|           5.416731e+02|  -7.170448e-01|           5.641590e-01|           5.641590e-01|     4.206248e+00|           1.111015e+00|
|GRB100206563|03 08 38.8|+13 09 28|   0.176|    0.072| 25.3705|       1.1685|   6.687704e+02|           1.024035e+02|           1.024035e+02|  -3.208838e-01|           1.491377e-01|           1.491377e-01|     2.525234e+01|           1.284065e+00|
|GRB100208386|17 21 00.0|+27 31 48|   0.192|    0.264|  3.4755|       0.7998|   1.766214e+03|           6.654923e+02|           6.654923e+02|  -3.275942e-01|           2.727012e-01|           2.727012e-01|     4.580962e+00|           8.368654e-01|
|GRB100216422|10 17 12.0|+35 30 00|   0.192|    0.143|  8.9994|       1.2003|   7.925041e+02|           2.359791e+02|           2.359791e+02|  -3.121144e-01|           2.889164e-01|           2.889164e-01|     7.723821e+00|           1.168386e+00|
|GRB100223110|06 58 00.0|+03 42 00|   0.256|    0.091| 18.6083|       1.8999|   1.244559e+03|           1.274548e+02|           1.274548e+02|   2.987185e-01|           1.810745e-01|           1.810745e-01|     1.949322e+01|           1.291560e+00|
|GRB100301068|07 20 33.6|-15 40 48|   0.960|    1.002|  9.1451|       1.0512|   5.508116e+02|           1.412285e+02|           1.412285e+02|  -5.292607e-01|           2.494303e-01|           2.494303e-01|     1.029420e+01|           1.298088e+00|
